location,Island,order,latitude,longitude,DnaAdmixture,AutosomeAdmixture,XChrAdmixture
China,Chin,1,24,111,1,1,1
Vietnam,Viet,2,14,108,1,1,1
Malaysia,Mala,3,4.4,102.8,1,0.97,0.99
Taiwan,Taiw,4,23.4,120.9,1,1,1
Philippines,Phil,5,14.6,121.3,1,1,1
Sumatra,Suma,6,-2.4,103.5,1,1,1
Java,Java,7,-7.48,110,1,1,1
Borneo,Born,8,1,114,1,0.99,1
Bali,Bali,9,-8.65,115.21,0.99,0.95,1
Sulawesi,Sula,10,2,121,0.97,0.91,0.99
Sumba,Sumb,11,-9.67,120,0.81,0.74,0.86
Maluku Halmahera,Halm,12,0.6,127.86,0.67,0.64,0.72
Flores,Flor,13,-8.66,121.38,0.66,0.62,0.69
West Timor,Timo,14,-9.23,124.93,0.64,0.58,0.7
Alor,Alor,15,-8.25,124.75,0.51,0.49,0.54
Seram,Sera,16,-3.33,128.97,NA,NA,NA
Tanimbar,Tani,17,-7.61,131.42,NA,NA,NA
Aru,Aru,18,-6.14,134.53,NA,NA,NA
New Guinea Island,Papu,19,-5.5,141,0.14,0.13,0.16
